Registration_number ,Field_number,Class,Order,Family,Genus,Species,Country,Locality,Latitude,Longitude,Extent,Notes,Collector_donor,Comments,Type_status,Genetic_resources
2005.1851,MW 10401,Amphibia,Gymnophiona,Dermophiidae,Geotrypetes,seraphini,Equitorial Guinea,Bioko,3.264083,8.475778,0,N/A,DJ Gower,altitude 0; Collected on 11/01/2014,Non-type,Frozen (Possible)
2005.1861,MW 10405,Amphibia,Anura,Bufonidae,Nectophryne,batesii,Equitorial Guinea,Bioko,3.267361,8.471611,0,N/A,DJ Gower,altitude 20; Collected on 13/01/2014,Non-type,Frozen (Possible)
2005.1852,MW 10407,Amphibia,Gymnophiona,Dermophiidae,Geotrypetes,seraphini,Equitorial Guinea,Bioko,3.260944,8.486556,0,N/A,DJ Gower and  Vanessa Callahan,altitude 28; Collected on 14/01/2014,Non-type,Frozen (Possible)
2005.186,MW 10408,Amphibia,Anura,Arthroleptidae,Cardioglossa,nigromaculata,Equitorial Guinea,Bioko,3.3665,8.502333,0,N/A,DJ Gower and Jake Owens,altitude 1079; Collected on 18/01/2014,Non-type,Frozen (Possible)
2005.1863,MW 10409,Amphibia,Anura,Arthroleptidae,Arthroleptis,variabilis,Equitorial Guinea,Bioko,3.3665,8.502333,0,N/A,DJ Gower,altitude 1079; Collected on 18/01/2014,Non-type,Frozen (Possible)
2005.1856,MW 10410,Amphibia,Anura,Pipidae,Xenopus,allofraseri,Equitorial Guinea,Bioko,3.366778,8.504306,0,N/A,DJ Gower,altitude 1056; Collected on 19/01/2014,Non-type,Frozen (Possible)
2005.1857,MW 10411,Amphibia,Anura,Arthroleptidae,Leptopelis,calcaratus,Equitorial Guinea,Bioko,3.3665,8.502333,0,N/A,DJ Gower,altitude 1079; Collected on 18/01/2014,Non-type,Frozen (Possible)
2005.1858,MW 10412,Amphibia,Anura,Arthroleptidae,Leptopelis,rufus,Equitorial Guinea,Bioko,3.36525,8.500361,0,N/A,DJ Gower,altitude 1052; Collected on 17/01/2014,Non-type,Frozen (Possible)
2005.1859,MW 10413,Amphibia,Anura,Bufonidae,Amietophrynus,camerunensis,Equitorial Guinea,Bioko,3.366806,8.503944,0,N/A,DJ Gower,altitude 1077; Collected on 19/01/2014,Non-type,Frozen (Possible)
2005.1864,MW 10414,Amphibia,Anura,Arthroleptidae,Arthroleptis,variabilis,Equitorial Guinea,Bioko,3.366806,8.503944,0,N/A,DJ Gower,altitude 1077; Collected on 19/01/2014,Non-type,Frozen (Possible)
